attributeName,storageType,unit,numberType,definition,attributeDefinition,columnClasses,minimum,maximum,missingValueCode,missingValueCodeExplanation
kartez,string,,,The Kartez code for species as designated by the USDA plants database.,The Kartez code for species as designated by the USDA plants database.,character,,,,
family,string,,,The taxonomic family to which a species belongs.,The taxonomic family to which a species belongs.,character,,,,
genus,string,,,The plant genus,The plant genus,character,,,,
species,string,,,The plant species,The plant species,character,,,,
subspecies_variety,string,,,"Subspecific taxa, including varieties and subspecies.","Subspecific taxa, including varieties and subspecies.",character,,,,
common.name,string,,,The common or vernacular name for a plant species. Names are from the Kartesz code and the USDA plants database.,The common or vernacular name for a plant species. Names are from the Kartesz code and the USDA plants database.,character,,,,
photosynthetic_pathway,string,,,,The method by which a species fixes carbon in the process of photosynthesis.,factor,,,,
life_cycle,string,,,,The longevity of a species.,factor,,,,
life_form,string,,,,The form or physiognomy of a species.,factor,,,,
native,string,,,,Indicates whether the species is native or introduced to the Sevilleta National Wildlife Refuge.,factor,,,,
path,string,,,,The method by which a species fixes carbon in the process of photosynthesis.,factor,,,,
a_p,string,,,,Simplified life cycle data indicating the longevity of a species,factor,,,,
g_f,string,,,,Simplified life form or physiognomy of a species.,factor,,,,
