kartez,family,genus,species,subspecies_variety,common name,photosynthetic_pathway,life_cycle,life_form,native,path,a_p,g_f
AMHY,Amaranthaceae,Amaranthus,hybridus,,slim amaranth,C4,a,H,y,C4,a,f
AMPA,Amaranthaceae,Amaranthus,palmeri,,carlessweed,C4,a,H,y,C4,a,f
AMPA5,Apocynaceae,Amsonia,palmeri,,Palmer's bluestar,,p,H,y,C3,p,f
AMPO2,Amaranthaceae,Amaranthus,powellii,,Powell's amaranth,C4,a,H,y,C4,a,f
ANCA10,Saururaceae,Anemopsis,californica,,yerba mansa,,p,H,y,C3,p,f
APAN2,Apocynaceae,Apocynum,androsaemifolium,,spreading dogbane,C3,p,H,y,C3,p,f
APRA,Asteraceae,Aphanostephus,ramosissimus,,plains dosedaisy,C3,ap,H,y,C3,p,f
APRAH,Asteraceae,Aphanostephus,ramosissimus,var. humilis,plains dosedaisy,C3,ap,H,y,C3,p,f
ARAD,Poaceae,Aristida,adscensionis,,sixweeks threeawn,C4,a,G,y,C4,a,g
ARAR6,Poaceae,Aristida,arizonica,,Arizona threeawn,C4,p,G,y,C4,p,g
ARBI3,Asteraceae,Artemisia,bigelovii,,Bigelow sagebrush,,p,S/ss,y,C3,p,s
ARCA12,Asteraceae,Artemisia,campestris,,field sagewort,C3,bp,H,y,C3,p,f
ARCA14,Asteraceae,Artemisia,carruthii,,Carruth's sagewort,,p,H,y,C3,p,f
ARDI5,Poaceae,Aristida,divaricata,,poverty threeawn,C4,p,G,y,C4,p,g
ARDR,Brassicaceae,Arabis,drummondii,,Dummond's rockcress,,bp,H,y,C3,p,f
ARDR4,Asteraceae,Artemisia,dracunculus,,wormwood,,p,ss/H,y,C3,p,f
ARFE5,Pteridaceae,Argyrochosma,fendleri,,Fendler's false cloak ferm,,p,H,y,C3,p,f
ARFEF,Brassicaceae,Arabis,fendleri, var. fendleri,Fendler's rockcress,C3,p,ss/H,y,C3,p,f
ARFI2,Asteraceae,Artemisia,filifolia,,sand sagebrush,,p,S/ss,y,C3,p,s
ARFR4,Asteraceae,Artemisia,frigida,,prairie sagewort,,p,ss,y,C3,p,s
ARHA3,Poaceae,Aristida,havardii,,Harvard's threeawn,C4,p,G,y,C4,p,g
ARIST,Poaceae,Aristida,sp.,,three awn,C4,p,G,y,C4,p,g
ARLU,Asteraceae,Artemisia,ludoviciana,,white sagebrush,C3,p,ss/H,y,C3,p,f
ARLUA,Asteraceae,Artemisia,ludoviciana,subsp. albula,white sagebrush,C3,p,ss/H,y,C3,p,f
ARLUL2,Asteraceae,Artemisia,ludoviciana,subsp. ludoviciana,white sagebrush,C3,p,ss/H,y,C3,p,f
ARPA9,Poaceae,Aristida,pansa,,Wooton's threeawn,C4,p,G,y,C4,p,g
ARPE2,Brassicaceae,Arabis,perennans,,perennial rockcress,,p,ss/H,y,C3,p,f
ARPU9,Poaceae,Aristida,purpurea,,purple threeawn,C4,ap,G,y,C4,p,g
ARPUF,Poaceae,Aristida,purpurea,var. fendleriana,Fendler's threeawn,C4,p,G,y,C4,p,g
ARPUL,Poaceae,Aristida,purpurea,var. longiseta,Fendler threeawn,C4,p,G,y,C4,p,g
ARPUN,Poaceae,Aristida,purpurea,var. nealleyi,blue threeawn,C4,p,G,y,C4,p,g
ARPUW,Poaceae,Aristida,purpurea,var. wrightii,Wright's threeawn,C4,p,G,y,C4,p,g
ASAL5,Fabaceae,Astragalus,albulus,,cibola milkvetch,,p,ss/H,y,C3,p,f
ASASA,Asclepiadaceae,Asclepias,asperula,subsp. asperula,spider milkweed,C3,p,H,y,C3,p,f
ASBR,Asclepiadaceae,Asclepias,brachystephana,,bract milkweed,C3,p,H,y,C3,p,f
ASEN,Asclepiadaceae,Asclepias,engelmanniana,,Engelmann's milkweed,C3,p,H,y,C3,p,f
ASFE2,Fabaceae,Astragalus,missouriensis,var. mimetes,horn loco milkvetch,,p,H,y,C3,p,f
ASLA4,Asclepiadaceae,Asclepias,latifolia,,broadleaf milkweed,C3,p,H,y,C3,p,f
ASLE8,Fabaceae,Astragalus,lentiginosus,,freckled milkvetch,,abp,S/ss/H,y,C3,p,s
ASLED,Fabaceae,Astragalus,lentiginosus,var. diphysus,freckled milkvetch,,p,H,y,C3,p,f
ASMA,Asclepiadaceae,Asclepias,macrotis,,longhood milkweed,C3,p,ss,y,C3,p,s
ASMI10,Fabaceae,Astragalus,missouriensis,,Missouri milkvetch,,p,ss/H,y,C3,p,f
ASNU4,Fabaceae,Astragalus,nuttallianus,,smallflowered milkvetch,C3,ap,H,y,C3,p,f
ASNUA,Fabaceae,Astragalus,nuttallianus,var. austrinus,smallflowered milkvetch,C3,a,H,y,C3,a,f
ASPR5,Fabaceae,Astragalus,praelongus,,stinking milkvetch,,p,H,y,C3,p,f
ASPRE,Fabaceae,Astragalus,praelongus,var. ellisiae,Ellis' stinking milkvetch,,p,H,y,C3,p,f
ASPRP2,Fabaceae,Astragalus,praelongus,var. praelongus,stinking milkvetch,,p,H,y,C3,p,f
ASRE,Aspleniaceae,Asplenium,resiliens,,blackstem spleenwart,,p,H,y,NA,p,f
ASSP,Asclepiadaceae,Asclepias,speciosa,,showy milkweed,C3,p,H,y,C3,p,f
ASSU2,Asclepiadaceae,Asclepias,subverticillata,,horsetail milkweed,C3,p,H,y,C3,p,f
ASTE8,Fabaceae,Astragalus,tephrodes,,ashen milkvetch,C3,p,H,y,C3,p,f
ASTRA,Fabaceae,Astragalus,sp,,,C3,p,H,y,C3,p,f
ATARA,Chenopodiaceae,Atriplex,argentea,subsp. argentea,silverscale saltbush,C4,ap,H,y,C4,p,f
ATARE,Chenopodiaceae,Atriplex,argentea,subsp. expansa,silverscale saltbush,,ap,H,y,C4,p,f
ATCA2,Chenopodiaceae,Atriplex,canescens,,fourwing saltbush,C4,p,S,y,C4,p,s
ATCO,Chenopodiaceae,Atriplex,confertifolia,,shadescale saltbush,C4,p,ss/H,y,C4,p,f
ATSA,Chenopodiaceae,Atriplex,saccaria,,sack saltbush,,a,H,y,C4,a,f
BAAB,Asteraceae,Bahia,absinthifolia,,hairyseed bahia,C3,p,H,y,C3,p,f
BAABA,Asteraceae,Bahia,absinthifolia,var. absinthifolia,hairyseed bahia,C3,p,H,y,C3,p,f
BAABD,Asteraceae,Bahia,absinthifolia,var. dealbata,Dealbata's bahia,C3,p,H,y,C3,p,f
BADI,Asteraceae,Bahia,dissecta,,ragleaf bahia,,abp,H,y,C3,p,f
BAEM,Asteraceae,Baccharis,emoryi,,Emory's baccharis,,p,S,y,C3,p,s
BAHY,Chenopodiaceae,Bassia,hyssopifolia,,hybrid beardgrass,,a,H,n,NA,a,f
BAMU,Asteraceae,Baileya,multiradiata,,desert marigold,C3,abp,H,y,C3,p,f
BAPE,Asteraceae,Bahia,pedata,,bluntscale bahia,,a,H,y,C3,a,f
BAPL3,Asteraceae,Baileya,pleniradiata,,woolly desert marigold,C3,abp,H,y,C3,p,f
BAPT,Asteraceae,Baccharis,pteronioides,,,,p,S,y,C3,p,s
BASA4,Asteraceae,Baccharis,salicifolia,,mule fat,,p,S,y,C3,p,s
BASC5,Chenopodiaceae,Bassia,scoparia,,burningbush,,a,H,n,NA,a,f
BEER,Apiaceae,Berula,erecta,,cutleaf waterparsnip,,p,H,y,C3,p,f
BELY,Asteraceae,Berlandiera,lyrata,,lyreleaf greeneyes,C3,p,H,y,C3,p,f
BICE,Asteraceae,Bidens,cernua,,nodding beggartick,,a,H,y,C3,a,f
BIFR,Asteraceae,Bidens,frondosa,,devil's beggartick,C3,a,H,y,C3,a,f
BOAR,Poaceae,Bouteloua,aristidoides,,needle grama,C4,a,G,y,C4,a,g
BOBA2,Poaceae,Bouteloua,barbata,,sixweeks grama,C4,a,G,y,C4,a,g
BOCU,Poaceae,Bouteloua,curtipendula,,sideoats grama,C4,p,G,y,C4,p,g
BOER,Nyctaginaceae,Boerhavia,erecta,,erect spiderling,C4,ap,H,y,C4,p,f
BOER4,Poaceae,Bouteloua,eriopoda,,black grama,C4,p,G,y,C4,p,g
BOGR2,Poaceae,Bouteloua,gracilis,,blue grama,C4,p,G,y,C4,p,g
BOHI2,Poaceae,Bouteloua,hirsuta,,hairy grama,C4,p,G,y,C4,p,g
BOIN,Nyctaginaceae,Boerhavia,intermedia,,fivewing spiderling,C4,a,H,y,C4,a,f
BOLAT,Poaceae,Bothriochloa,laguroides,var. torreyana,silver beardgrass,,p,G,y,NA,p,g
BOPU,Nyctaginaceae,Boerhavia,purpurascens,,purple spiderling,,a,H,y,C4,a,f
BOSA,Poaceae,Bothriochloa,saccharoides,,silver bluestem,,p,G,y,C4,p,g
BOSP,Nyctaginaceae,Boerhavia,spicata,,creeping spiderling,C4,a,H,y,C4,a,f
BOSP3,Poaceae,Bothriochloa,springfieldii,,Springfield's beardgrass,,p,G,y,NA,p,g
BOWR2,Poaceae,Bothriochloa,wrightii,,Wright's beardgrass,,p,G,y,NA,p,g
BRBR2,Asteraceae,Brickellia,brachyphylla,,plumed brickellbush,,p,ss/H,y,C3,p,f
BRCA3,Asteraceae,Brickellia,californica,,California brickellbush,C3,p,S/ss,y,C3,p,s
BREU,Asteraceae,Brickellia,eupatorioides,,false boneset,,p,H/ss,y,NA,p,f
BREUC2,Asteraceae,Brickellia,eupatorioides,var. chlorolepis,ragged marsh-elder,,p,H/ss,y,C3,p,f
BREUE,Asteraceae,Brickellia,eupatorioides,var. eupatorioides,false boneset,,p,H/ss,y,NA,p,f
BRTE,Poaceae,Bromus,tectorum,,cheatgrass,C3,a,G,n,C3,a,g
CADR6,Fabaceae,Hoffmannseggia,drepanocarpa,,sicklepod holdback,,p,ss/H,y,C3,p,f
CAHAF2,Onagraceae,Calylophus,hartwegii,var. filifolius,Hartweg's subdrops,,p,ss/H,y,C3,p,f
CAIN14,Scrophulariaceae,Castilleja,integra,,wholeleaf Indian paintbrush,,p,ss/H/rp,y,C3,p,f
CALI2,Acanthaceae,Carlowrightia,linearifolia,,heath wrightwort,C3,p,ss/H,y,C3,p,f
CAMI13,Scrophulariaceae,Castilleja,minor,,lesser Indian paintbrush,,ap,ss/H/rp,y,C3,p,f
CAPA47,Solanaceae,Calibrachoa,parviflora,,seaside petunia,,a,H,y,C3,a,f
CAWR,Asteraceae,Calycoseris,wrightii,,white tackstem,,a,H,y,NA,a,f
CEAR12,Gentianaceae,Centaurium,arizonicum,,Arizona centaury,,ab,H,y,C3,a ,f
CELAR,Ulmaceae,Celtis,laevigata,var. reticulata,netleaf hackberry,,p,T/S,y,C3,p,t
CEMO2,Rosaceae,Cercocarpus,montanus,,alderleaf mountain mahogany,C3,p,T/S,y,C3,p,t
CESI,Loasaceae,Cevallia,sinuata,,stinging serpent,,p,ss/H,y,C3,p,f
CHAL11,Euphorbiaceae,Chamaesyce,albomarginata,,whitemargin sandmat,C4,p,H,y,C4,p,f
CHAL7,Chenopodiaceae,Chenopodium,album,,lambsquarters,C3,a,H,n,C3,a,f
CHAM,Chenopodiaceae,Chenopodium,ambrosioides,,Mexican tea,C3,ap,ss/H,n,C3,p,f
CHBA11,Asteraceae,Chrysothamnus,baileyi,,Bailey's rabbitbrush,,p,S/ss,y,NA,p,s
CHCHC3,Euphorbiaceae,Chamaesyce,chaetocalyx,var. chaetocalyx,bristlecup sandmat,C4,p,ss/H,y,C4,p,f
CHCO,Solanaceae,Chamaesaracha,coniodes,,gray five eyes,,p,H,y,C3,p,f
CHCO2,Solanaceae,Chamaesaracha,coronopus,,greenleaf five eyes,C3,p,H,y,C3,p,f
CHER2,Asteraceae,Chaetopappa,ericoides,,rose heath,C3,p,ss/H,y,C3,p,f
CHFE,Pteridaceae,Cheilanthes,feei,,slender lipfern,,p,H,y,C3,p,f
CHFE3,Euphorbiaceae,Chamaesyce,fendleri,,Fendler's sandmat,C4,p,ss/H,y,C4,p,f
CHFR3,Chenopodiaceae,Chenopodium,fremontii,,Fremont's goosefoot,C3,a,H,y,C3,a,f
CHGE2,Euphorbiaceae,Chamaesyce,geyeri,,Geyer's sandmat,C4,a,H,y,C4,a,f
CHGL13,Euphorbiaceae,Chamaesyce,glyptosperma,,ribseed sandmat ,,a,H,y,C4,a,f
CHGL3,Chenopodiaceae,Chenopodium,glaucum,,oakleaf goosefoot,,a,H,n,NA,a,f
CHGR2,Chenopodiaceae,Chenopodium,graveolens,,fetid goosefoot,C3,a,H,y,C3,a,f
CHIN2,Chenopodiaceae,Chenopodium,incanum,,mealy goosefoot,C3,a,H,y,C3,a,f
CHLA10,Euphorbiaceae,Chamaesyce,lata,,hoary sandmat,na,p,H,y,C4,p,f
CHLI2,Bignoniaceae,Chilopsis,linearis,,desert willow,C3,p,T/S,y,C3,p,t
CHLIA,Bignoniaceae,Chilopsis,linearis,subsp. arcuata,desert willow,C3,p,T/S,y,C3,p,t
CHMI7,Euphorbiaceae,Chamaesyce,micromera,,Sonoran sandmat,C4,a,H,y,C4,a,f
CHMI8,Euphorbiaceae,Chamaesyce,missurica,,prairie sandmat,,a,H,y,C4,a,f
CHPA28,Euphorbiaceae,Chamaesyce,parryi,,Parry's sandmat,,a,H,y,NA,a,f
CHPR6,Euphorbiaceae,Chamaesyce,prostrata,,prostrate sandmat,,ap,H,y,NA,p,f
CHRE4,Euphorbiaceae,Chamaesyce,revoluta,,threadstem sandmat,,a,H,y,C4,a,f
CHRU,Chenopodiaceae,Chenopodium,rubrum,,red goosefoot,C3,a,H,n,C3,a,f
CHSE7,Euphorbiaceae,Chamaesyce,serrula,,sawtooth sandmat,C4,a,H,y,C4,a,f
CHSE8,Euphorbiaceae,Chamaesyce,setiloba,,Yuma sandmat,,a,H,y,NA,a,f
CHSES,Euphorbiaceae,Chamaesyce,serpyllifolia,subsp. serpyllifolia,thymeleaf sandmat,C4,a,H,y,C4,a,f
CHSO,Solanaceae,Chamaesaracha,sordida,,hairy five eyes,C3,p,H,y,C3,p,f
CHSP11,Asteraceae,Chloracantha,spinosa,,spiny choracantha,C3,p,H,y,C3,p,f
CHST8,Euphorbiaceae,Chamaesyce,stictospora,,slimseed sandmat,,a,H,y,C4,a,f
CHVI4,Poaceae,Chloris,virgata,,feather fingergrass,C4,a,G,y,C4,a,g
CHWO,Pteridaceae,Cheilanthes,wootonii,,beaded lipfern,,p,H,y,C3,p,f
CICA11,Asteraceae,Cirsium,canescens,,prairie thistle,,b,H,y,NA,a,f
CINE,Asteraceae,Cirsium,neomexicanum,,New Mexico thistle,C3,bp,H,y,C3,p,f
CIOC2,Asteraceae,Cirsium,ochrocentrum,,yellowspine thistle,C3,bp,H,y,C3,p,f
CIUN,Asteraceae,Cirsium,undulatum,,wavyleaf thistle,C3,bp,H,y,NA,p,f
CLLI2,Ranunculaceae,Clematis,ligusticifolia,,western white clematis,,p,V,y,C3,p,s
CLSE,Capparaceae,Cleome,serrulata,,Rocky Mountain beeplant,,a ,H,y,C3,a ,f
COAR4,Convolvulaceae,Convolvulus,arvensis,,field bindweed,C3,p,V/H,n,C3,p,f
COAU2,Fumariaceae,Corydalis,aurea,,scrambled eggs,C3,ab ,H,y,C3,a ,f
COCA5,Asteraceae,Conyza,canadensis,,Canadian horseweed,,ab,H,n,C3,a ,f
COEQ,Convolvulaceae,Convolvulus,equitans,,Texas bindweed,C3,ap,V/H,y,C3,p,f
COERA,Commelinaceae,Commelina,erecta,var. angustifolia,whitemouth dayflower,,p,H,y,C3,p,f
COWR2,Scrophulariaceae,Cordylanthus,wrightii,,Wright's bird's beak,,a,H,y,C3,a,f
CRCI3,Boraginaceae,Cryptantha,cinerea,,James' cryptantha,C3,p,ss/H,y,NA,p,f
CRCIC,Boraginaceae,Cryptantha,cinerea,var. cinerea,James' cryptantha,C3,p,ss/H,y,C3,p,f
CRCIJ,Boraginaceae,Cryptantha,cinerea,var. jamesii,James' cryptantha,C3,p,ss/H,y,C3,p,f
CRCIL,Boraginaceae,Cryptantha,cinerea,var. laxa,James' cryptantha,C3,p,ss/H,y,C3,p,f
CRCR3,Boraginaceae,Cryptantha,crassisepala,,thicksepal cryptantha,C3,a,H,y,C3,a,f
CRCRE,Boraginaceae,Cryptantha,crassisepala,var. elachantha,thicksepal cryptantha,C3,a,H,y,C3,a,f
CRFU,Boraginaceae,Cryptantha,fulvocanescens,,tawny cryptantha,C3,p,ss/H,y,NA,p,f
CROB,Boraginaceae,Cryptantha,oblata,,rough cryptantha,C3,p,ss/H,y,NA,p,f
CRPA8,Boraginaceae,Cryptantha,paysonii,,Payson's cryptantha,C3,p,ss/H,y,NA,p,f
CRTE4,Euphorbiaceae,Croton,texensis,,Texas croton,,a,H,y,C3,a,f
CRTR5,Convolvulaceae,Cressa,truxillensis,,spreading alkaliweed,,p,ss/H,y,C3,p,f
CUFO,Cucurbitaceae,Cucurbita,foetidissima,,Missouri gourd,C3,p,V/H,y,C3,p,f
CUSCU,Cuscutaceae,Cuscuta,spp.,,dodder,,,,,C3,a,f
CYACF,Apiaceae,Cymopterus,acaulis,var. fendleri,Fendler's springparsley,,p,H,y,C3,p,f
CYAT,Chenopodiaceae,Cycloloma,atriplicifolium,,winged pigweed,C3,a,H,y,C3,a,f
CYES,Cyperaceae,Cyperus,esculentus,,yellow nutsedge,C4,p,G,y,C4,p,g
CYIM2,Cactaceae,Cylindropuntia,imbricata,,tree cholla,CAM,p,T/S/su,y,CAM,p,s
CYIMI,Cactaceae,Cylindropuntia,imbricata,var. imbricata,tree cholla,CAM,p,T/S/su,y,CAM,p,s
CYLE8,Cactaceae,Cylindropuntia,leptocaulis,,Christmas cactus,CAM,p,S/su,y,CAM,p,s
CYMO,Apiaceae,Cymopterus,montanus,,mountain springparsley,,p,H,y,C3,p,f
CYOD,Cyperaceae,Cyperus,odoratus,,fragrant flatsedge,,ap,G,y,C4,p,g
CYOF,Boraginaceae,Cynoglossum,officinale,,gypsyflower,,b,H,n,C3,a,f
DABR,Fabaceae,Dalea,brachystachya,,,,ab,H,y,C3,a ,f
DACA7,Fabaceae,Dalea,candida,,white prairie clover,,p,ss/H,y,C3,p,f
DACAC,Fabaceae,Dalea,candida,var. candida,white prairie clover,,p,ss/H,y,C3,p,f
DACAO,Fabaceae,Dalea,candida,var. oligophylla,white prairie clover,C3,p,ss/H,y,C3,p,f
DACY,Fabaceae,Dalea,cylindriceps,,Andean prairie clover,,p,H,y,C3,p,f
DAFO,Fabaceae,Dalea,formosa,,featherplume,C3,p,S/ss,y,C3,p,s
DAJA,Fabaceae,Dalea,jamesii,,James' prairie clover,,p,ss/H,y,C3,p,f
DALA3,Fabaceae,Dalea,lanata,,woolly prairie clover,,p,H,y,C3,p,f
DALAT,Fabaceae,Dalea,lanata,var. terminalis,woolly prairie clover,,p,H,y,C3,p,f
DALE3,Fabaceae,Dalea,leporina,,foxtail prairie clover,,a,H,y,C3,a,f
DANA,Fabaceae,Dalea,nana,,dwarf prairie clover,,p,H,y,C3,p,f
DANAN,Fabaceae,Dalea,nana,var. nana,dwarf prairie clover,,p,H,y,C3,p,f
DANE,Fabaceae,Dalea,neomexicana,,downy prairie clover,,p,H,y,C3,p,f
DAPU7,Poaceae,Dasyochloa,pulchella,,low woolygrass,C4,p,G,y,C4,p,g
DAPUP,Fabaceae,Dalea,purpurea,var. purpurea,purple prairie clover,C3,p,ss/H,y,C3,p,f
DASC4,Fabaceae,Dalea,scariosa,,Albuquerque prairie clover,,p,H,y,C3,p,f
DAWR,Fabaceae,Dalea,wrightii,,Wright's prairie clover,,p,H,y,C3,p,f
DECAV2,Ranunculaceae,Delphinium,carolinianum,var. virescens,Carolina larkspur,C3,p,H,y,C3,p,f
DEOB,Brassicaceae,Descurainia,obtusa,,blunt tansymustard,,ap,H,y,C3,p,f
DEPI,Brassicaceae,Descurainia,pinnata,,western tansymustard,C3,abp,H,y,C3,p,f
DEPIH,Brassicaceae,Descurainia,pinnata,var. halictorum,western tansymustard,C3,abp,H,y,C3,p,f
DESO2,Brassicaceae,Descurainia,sophia,,herb sophia,,ab,H,n,C3,a ,f
DEWO,Ranunculaceae,Delphinium,wootonii,,Organ Mountain larkspur,,p,H,y,C3,p,f
DISP,Poaceae,Distichlis,spicata,,saltgrass,C4,p,G,y,C4,p,g
DIWI2,Brassicaceae,Dimorphocarpa,wislizeni,,touristplant,C3,a,H,y,C3,a,f
DRCUC,Brassicaceae,Draba,cuneifolia,var. cuneifolia,wedgeleaf draba,C3,a,H,y,C3,a,f
DRGL5,Caryophyllaceae,Drymaria,glandulosa,,Fendler's drymary,,a,H,y,C3,a,f
DYPA,Asteraceae,Dyssodia,papposa,,fetid marigold,,a,H,y,C3,a,f
ECCOC,Cactaceae,Echinocereus,coccineus,var. coccineus,scarlet hedgehog cactus,CAM,p,S/su,y,CAM,p,s
ECCR,Poaceae,Echinochloa,crus-galli,,barnyardgrass,C4,a,G,y,C4,a,g
ECCRM,Poaceae,Echinochloa,crus-pavonis,var. macera,gulf cockspur grass,C4,a,G,y,C4,a,g
ECFE,Cactaceae,Echinocereus,fendleri,,pinkflower hedgehog cactus,CAM,p,S/su,y,CAM,p,s
ECFEF3,Cactaceae,Echinocereus,fendleri,subsp. fendleri,pinkflower hedgehog cactus,CAM,p,S/su,y,CAM,p,s
ECIN2,Cactaceae,Ecinomastus,intertextus,,white fishhook cactus,CAM,p,S/su,y,CAM,p,s
ECPR,Asteraceae,Eclipta,prostrata,,false daisy,,ap,H,y,C3,p,f
ECVI2,Cactaceae,Echinocereus,viridiflorus,,nylon hedgehog cactus,CAM,p,S/su,y,CAM,p,s
ELAN,Elaeagnaceae,Elaeagnus,angustifolia,,Russian olive,C3,p,T/S,y,C3,p,t
ELEL5,Poaceae,Elymus,elymoides,,squirreltail,,p,G,y,C3,p,g
ELPA3,Cyperaceae,Eleocharis,palustris,,common spikerush,C3,p,G,y,C3,p,g
ELPA4,Cyperaceae,Eleocharis,parishii,,Parish's spikerush,,p,G,y,NA,p,g
ENDE,Poaceae,Enneapogon,desvauxii,,nineawn pappusgrass,C4,p,G,y,C4,p,g
EPCI,Onagraceae,Epilobium,ciliatum,,fringed willowherb,C3,p,H,y,C3,p,f
EPTO,Ephedraceae,Ephedra,torreyana,,Torrey's jointfir,C3,p,ss/S,y,C3,p,s
EPVI,Ephedraceae,Ephedra,viridis,,mormon tea,,p,S,y,C3,p,s
EPWI2,Scrophulariaceae,Epixiphium,wislizeni,,ballonbush,,p,V/H,y,C3,p,f
EQLA,Equisetaceae,Equisetum,laevigatum,,smooth horsetail,C3,p,H,y,C3,p,f
ERAB2,Polygonaceae,Eriogonum,abertianum,,Abert's buckwheat,C3,a,H,y,C3,a,f
ERAN4,Polygonaceae,Eriogonum,annuum,,annual buckwheat,,ab ,H,y,C3,a ,f
ERAS2,Brassicaceae,Erysimum,asperum,,western wallflower,,bp,H,y,C3,p,f
ERBA2,Poaceae,Eragrostis,barrelieri,,Mediterranean lovegrass,C4,a,G,n,C4,a,g
ERBEB,Asteraceae,Erigeron,bellidiastrum,var. bellidiastrum,western daisy fleabane,C3,a,H,y,C3,a,f
ERCA14,Brassicaceae,Erysimum,capitatum,,sanddune wallflower,,bp,H,y,C3,p,f
ERCE2,Polygonaceae,Eriogonum,cernuum,,nodding buckwheat,,a,H,y,C3,a,f
ERCI,Poaceae,Eragrostis,cilianensis,,stinkgrass,,a,G,n,C4,a,g
ERCI6,Geraniaceae,Erodium,cicutarium,,redstem stork's bill,C3,ab,H,n,C3,a ,f
ERCO28,Asteraceae,Erigeron,colomexicanus,,running fleabane,,b,H,y,NA,a,f
ERDI2,Polemoniaceae,Eriastrum,diffusum,,miniature woollystar,,a,H,y,C3,a,f
ERDI4,Asteraceae,Erigeron,divergens,,spreading fleabane,C3,bp,H,y,C3,p,f
EREF,Polygonaceae,Eriogonum,effusum,,spreading buckwheat,,p,S/ss,y,C3,p,s
ERFL,Asteraceae,Erigeron,flagellaris,,trailing fleabane,C3,b,H,y,C3,a,f
ERHA,Polygonaceae,Eriogonum,havardii,,Harvard's buckwheat,,p,H,y,C3,p,f
ERIN,Poaceae,Eragrostis,intermedia,,plains lovegrass,C4,p,G,y,C4,p,g
ERIN7,Brassicaceae,Erysimum,inconspicuum,,shy wallflower,,bp,H,y,C3,p,f
ERJA,Polygonaceae,Eriogonum,jamesii,,James' buckwheat,C3,p,ss/H,y,C3,p,f
ERJAJ,Polygonaceae,Eriogonum,jamesii,var. jamesii,James' buckwheat,C3,p,ss/H,y,C3,p,f
ERLE10,Polygonaceae,Eriogonum,leptophyllum,,slenderleaf buckwheat,,p,ss/H,y,C3,p,f
ERME,Poaceae,Eragrostis,mexicana,,Mexican lovegrass,C4,a,G,y,C4,a,g
ERNAN3,Asteraceae,Ericameria,nauseosa,subsp. nauseosa ,rubber rabbitbrush,,p,S/ss,y,NA,p,s
ERPE,Poaceae,Eragrostis,pectinacea,,tufted lovegrass,,ap,G,y,C4,p,g
ERPI5,Poaceae,Erioneuron,pilosum,,hairy woollygrass,C4,p,G,y,C4,p,g
ERPO4,Polygonaceae,Eriogonum,polycladon,,sorrel buckwheat,,a,H,y,C3,a,f
ERRO2,Polygonaceae,Eriogonum,rotundifolium,,roundleaf buckwheat,C3,a,H,y,C3,a,f
